id,final_stake,final_synergy_score,blocks_proposed,blocks_attested,governance_votes,slashing_count,strategy,is_active,reputation_mean,reputation_std
val_0000,2687.8355846287827,219.37741444706327,158,15842,384,0,honest,True,219.28552233431964,0.08404852097714098
val_0001,47118.75918014989,236.55809552810194,190,15810,401,0,honest,True,236.42084528098155,0.0994353230675572
val_0002,10286.193197472609,220.8786579641743,149,12614,415,0,opportunistic,True,221.0896581277128,0.1482945659736162
val_0003,6131.497066273555,229.66852795434215,205,15795,403,0,honest,True,229.8693411535994,0.14019932050697895
val_0004,876.1030044956317,252.31097908580446,197,11933,500,0,cartel_member,True,252.2917852429721,0.015012086757153665
val_0005,875.9468961951552,80.23262282854907,76,4771,148,0,byzantine,True,80.36740500484112,0.10019943359241533
val_0006,297.81909594087267,222.72180936785162,200,15800,390,0,honest,True,222.77360457990505,0.1297983669746784
val_0007,20651.628388214987,256.86237143050255,217,11892,500,0,cartel_member,True,256.8834355611214,0.012081071806915814
val_0008,6186.658006143382,236.2569226302772,198,15802,421,0,honest,True,236.21722834314645,0.07212940851776416
val_0009,9310.886012413957,51.4935006030811,36,7958,46,0,lazy,True,51.335199823778524,0.17070600701414126
val_0010,102.17435869055163,253.78379508175126,240,11937,500,0,cartel_member,True,253.73703550018058,0.023680707764097204
val_0011,68322.74157823005,237.09042125033972,187,15813,393,0,honest,True,237.1617742823186,0.13991109171107077
val_0012,16758.924081993322,78.2963035181562,80,4756,135,0,byzantine,True,78.41628734930141,0.09870611918146402
val_0013,1262.1765924680844,85.7940567199314,78,4823,161,0,byzantine,True,85.95431835657617,0.1253934220903056
val_0014,1047.5036605527473,252.236502419716,182,12053,500,0,cartel_member,True,252.19556862734365,0.03317239027754537
val_0015,1058.2873043109214,229.61157862326954,174,15826,409,0,honest,True,229.47843825466967,0.07881686320691746
val_0016,2001.991421442311,229.07044417017238,188,15812,406,0,honest,True,229.0083186397152,0.056803681708906206
val_0017,4698.3546262165455,216.94939898815707,185,12573,405,0,opportunistic,True,216.87923754002935,0.05845759401541002
val_0018,3351.0330009628638,48.84130597125798,52,7943,41,0,lazy,True,48.90686938727955,0.04032185069544799
val_0019,1887.5668322694112,225.01423853251822,211,15789,394,0,honest,True,225.21749294546768,0.1393858544129735
val_0020,6434.5826459020445,230.04977132183342,167,15833,408,0,honest,True,229.9380638279799,0.07175051475978787
val_0021,770.8652859027587,224.2466407602597,183,15817,394,0,honest,True,224.17441394396258,0.06497988094268467
val_0022,1895.5021719602332,225.27317134388403,183,15817,397,0,honest,True,225.20268579582188,0.06354443369999367
val_0023,2601.556683255056,226.31349154668666,186,15813,399,0,adaptive,True,226.38995186991554,0.14302873015395273
val_0024,3664.2042020439517,55.7925721537762,47,8013,58,0,lazy,True,55.569230639167834,0.1535899884359976
val_0025,13083.213196954575,222.2960689963238,171,15829,385,0,honest,True,222.21387749353767,0.07284145792175162
val_0026,1171.4181202198238,56.28218291033453,28,8039,62,0,lazy,True,56.323587293034436,0.043145437804970904
val_0027,4524.206314609849,219.44936702924932,173,15827,382,0,honest,True,219.6381890726276,0.13238916237205334
val_0028,5993.7901115356635,209.75404222656792,177,12589,387,0,opportunistic,True,209.79754881323882,0.12815181629523673
val_0029,235.75413163351325,228.5189077660453,194,15806,405,0,honest,True,228.44398744854513,0.07295972318806063
val_0030,6333.757541154109,232.6411522880391,185,15815,413,0,honest,True,232.55669036815846,0.0595790535680178
val_0031,971.3520315820557,227.75049667847446,155,15845,405,0,honest,True,227.7942216813573,0.13267500516824698
val_0032,335.609796241172,78.58462950387057,61,4831,145,0,byzantine,True,78.59556587519434,0.11123163647912751
val_0033,45812.47741797522,262.4083233478366,232,11879,500,0,cartel_member,True,262.393492554815,0.006337310456958593
val_0034,61908.06307969134,266.17872493545826,236,11986,500,0,cartel_member,True,266.1443074594801,0.026397443969240552
val_0035,14699.920871267355,226.96494765831895,181,15819,395,0,honest,True,227.14186655755972,0.12495768284926186
val_0036,2005.3106046074906,227.22038612426292,181,15816,402,0,adaptive,True,227.15400906853273,0.06008846799359422
val_0037,518.9664778591923,75.74021145347024,57,4743,139,0,byzantine,True,75.69636488509997,0.11849115216104607
val_0038,8463.047092778665,213.87713598152604,159,12668,397,0,opportunistic,True,214.0621877379003,0.13364972299457992
val_0039,3455.0495778608256,230.4284521730479,184,15816,408,0,honest,True,230.60702186146835,0.13110832401058042
val_0040,663.2967471157306,226.53290405409598,192,15808,399,0,honest,True,226.47599172148256,0.07077533999211637
val_0041,4224.272597855164,227.0763386767096,187,15813,400,0,honest,True,227.1310499702818,0.11651449879823478
val_0042,172.72069858789268,223.3296323472596,195,15805,392,0,honest,True,223.34503135333597,0.11583324514368777
val_0043,28937.00563598763,231.51260364173348,172,15828,400,0,honest,True,231.70499992738212,0.14927302048053875
val_0044,1616.910819029436,226.0443609674661,160,15840,401,0,honest,True,225.99107515961333,0.07516928816027171
val_0045,7778.769586809818,253.79651896517746,190,12031,500,0,cartel_member,True,253.81782821408703,0.012830964817936044
val_0046,2069.2900324486786,252.6396221167466,201,11917,500,0,cartel_member,True,252.6567380255536,0.008140166170269436
val_0047,4619.971378075794,254.27857893715654,221,12017,500,0,cartel_member,True,254.29217861264476,0.017715110770733896
val_0048,5083.26233405476,223.77593063311923,191,15809,391,0,honest,True,223.6664755887308,0.09524826986038405
val_0049,1068.2168291154167,227.58847553531865,209,15791,400,0,honest,True,227.51254960902938,0.07924151871957928
val_0050,67782.57303636374,238.74263032267132,180,15818,397,0,adaptive,True,238.6888065519652,0.07545853954812319
val_0051,12471.164179267422,229.65388121568083,167,15833,404,0,honest,True,229.8459661250616,0.1350609472806843
val_0052,40164.25185341503,231.35324326598044,172,15828,394,0,honest,True,231.53579161552014,0.12954435520126673
val_0053,25524.75884151291,90.68687879505438,62,4781,164,0,byzantine,True,90.81415602906067,0.1016576652585482
val_0054,6114.578494639113,235.30589508353617,194,15806,418,0,honest,True,235.5291326935613,0.15110910533549968
val_0055,32723.568470763188,240.35767620270627,186,15814,419,0,honest,True,240.39262577875044,0.15024562311139078
val_0056,466.26396544134974,85.58564767097454,63,4854,162,0,byzantine,True,85.58937359965708,0.10433225324694224
val_0057,1145.4183619313342,253.13364020716972,219,11918,500,0,cartel_member,True,253.11763988475352,0.0227668724045585
val_0058,229.3018564130142,231.86326228555558,210,15790,412,0,honest,True,231.79814415519726,0.06739145141773585
val_0059,2195.1950100252266,253.30984342728163,215,11949,500,0,cartel_member,True,253.2886358846441,0.017085693721454385
val_0060,2841.501474569279,236.05197343530676,188,15812,422,0,honest,True,235.98397069348496,0.05849740979073319
val_0061,1719.363303471393,228.20809162928967,176,15824,404,0,honest,True,228.25927123646917,0.14383437352017778
val_0062,16410.408195928823,234.69868195025234,210,15790,411,0,honest,True,234.61947007614503,0.07757657180979217
val_0063,2502.5304585326503,253.91509450348227,235,11894,500,0,cartel_member,True,253.9135666969396,0.011901516176969244
val_0064,1799.4973783618814,48.21175544713152,34,7931,42,0,lazy,True,48.25706749983429,0.039621192811704606
val_0065,5010.586108149574,227.84113934989173,205,15795,400,0,honest,True,227.7582680624964,0.08161173863786837
val_0066,779.8410338832417,48.88818230683125,43,7872,44,0,lazy,True,48.927471556804896,0.07383342683900629
val_0067,14237.37258262064,233.22198314375424,191,15809,409,0,honest,True,233.1636547360956,0.053765508208845035
val_0068,387.89042285893396,216.50358216473663,182,12714,405,0,opportunistic,True,216.53999029995458,0.13419023033447477
val_0069,124275.65676723995,249.78295437244682,184,15816,397,0,honest,True,249.71257368649418,0.06348772534374897
val_0070,12303.520619987423,231.26153473703306,180,15820,407,0,honest,True,231.15300201382098,0.08559798953267361
val_0071,1164.6498412737972,230.0214550777274,150,15849,411,0,adaptive,True,230.09460126455878,0.134419059831033
val_0072,27.06374617738936,83.1633055083145,54,4749,159,0,byzantine,True,83.14979983464505,0.10375358734407923
val_0073,15258.278900040013,213.40843534325978,164,12665,392,0,opportunistic,True,213.33446466679877,0.06589672255726413
val_0074,9264.898137549326,83.46814320048368,69,4721,154,0,byzantine,True,83.3359325801817,0.11002828225872277
val_0075,10156.606338882428,218.01057397908698,161,12698,406,0,opportunistic,True,218.09187591777342,0.14484077242355592
val_0076,12247.754980061589,231.7861916502817,184,15816,408,0,honest,True,231.72538793962147,0.05559509273636822
val_0077,385.08302975169426,252.01401266820423,192,11930,500,0,cartel_member,True,251.9617210005858,0.022390946757467126
val_0078,2519.997512221559,54.98291796190213,46,7976,57,0,lazy,True,55.03295722832264,0.04600189330057877
val_0079,626.1279642588223,53.117194905563075,51,7957,53,0,lazy,True,53.1542222918892,0.02685589281029228
val_0080,20231.52332960269,256.51583401150464,200,11992,500,0,cartel_member,True,256.51580588497336,0.016098293147434016
val_0081,6711.743805372898,230.5186762895612,203,15797,405,0,honest,True,230.4742527230046,0.07302323875716309
val_0082,2247.8937591670183,226.81184763612367,179,15821,401,0,honest,True,226.72442389766172,0.07474440343588348
val_0083,327.4717788191386,207.64291433729827,163,12681,385,0,opportunistic,True,207.54185545612074,0.07951418556617808
val_0084,2062.6700207761,226.72557636489395,166,15831,401,0,adaptive,True,227.05152259779658,0.2508980691466675
val_0085,2193.813382861102,225.23157725754368,180,15820,397,0,honest,True,225.42096336662505,0.13456135807508637
val_0086,10182.404216578396,84.38574340368862,53,4863,155,0,byzantine,True,84.35352423317127,0.11270333429739698
val_0087,7077.33778083014,51.233829199760734,34,7922,47,0,lazy,True,51.26958172618908,0.07495574206692747
val_0088,24029.41432358156,232.53509339528432,172,15828,405,0,honest,True,232.43825028182,0.060790975628283145
val_0089,3887.0335754033954,253.2881886389509,209,11913,500,0,cartel_member,True,253.31669339039377,0.01259502475320503
val_0090,648.5199956077901,212.35173290598837,160,12668,397,0,opportunistic,True,212.25321168279447,0.080007012583692
val_0091,9510.242140892538,224.88914393928323,174,15826,393,0,honest,True,224.8142320957656,0.06692668049906855
val_0092,11671.76693230951,228.02158008061528,159,15841,400,0,honest,True,227.95206037839492,0.06203598462468985
val_0093,5356.263041175726,224.79667081761474,184,15816,393,0,honest,True,224.70097060783075,0.07923895936176444
val_0094,12230.485606773122,230.9178540610732,194,15806,405,0,honest,True,230.84700290451718,0.06803878939212102
val_0095,4203.266283299087,225.95831780007256,154,15846,400,0,honest,True,225.88740315318722,0.06303839934498279
val_0096,4664.365603511014,212.48878073566962,175,12661,394,0,opportunistic,True,212.80081264520385,0.2685447535746347
val_0097,3296.245730551757,224.3466915351074,171,15829,394,0,honest,True,224.25422032349346,0.0795785561236135
val_0098,126.69250961226385,231.03691349890687,198,15802,411,0,honest,True,231.25360548443,0.14718404369795116
val_0099,578.6994145010945,49.477993360415915,44,8020,44,0,lazy,True,49.50450184886065,0.02988071525700887
